BRAND_ID,USER_ID,TOTAL_INTERACTIONS
131,1480,2
131,8241,1
131,9915,9
131,3948,6
131,8904,2
131,5689,5
131,9913,6
131,11881,9
131,5637,1
131,7669,2
131,5755,5
131,12462,1
131,11437,2
131,13773,1
131,8921,6
131,114,27
131,13879,5
131,9221,1
131,1733,17
131,9985,2
131,8791,8
131,5259,1
131,7559,2
131,10151,14
131,14553,9
131,1478,1
131,10905,5
131,4269,1
131,6239,3
131,12177,1
131,2258,2
131,8846,5
131,4907,4
131,3830,1
131,11383,20
131,13985,4
131,14109,3
131,1707,6
131,13823,18
131,5743,15
131,294,7
131,7911,6
131,6261,24
131,14209,2
131,6505,1
131,11093,1
131,8115,9
131,2096,11
131,12261,2
131,5115,1
131,5537,15
131,10689,2
131,6257,1
131,1354,8
131,12585,1
131,2632,33
131,52,9
131,1193,8
131,3321,7
131,14271,5
131,14195,2
131,1461,2
131,184,2
131,730,2
131,3695,1
131,8627,1
131,4074,5
131,12007,8
131,5279,1
131,10295,66
131,10513,6
131,6557,15
131,14299,1
131,15133,1
131,11631,2
131,5205,22
131,1482,11
131,15448,1
131,11293,1
131,14347,1
131,2552,2
131,3506,1
131,11075,7
131,13459,8
131,9577,1
131,5531,12
131,15729,1
131,650,5
131,1361,4
131,14219,3
131,15757,2
131,14465,1
131,436,3
131,3502,1
131,11063,1
131,11299,4
131,11405,1
131,46,3
131,15251,1
131,8361,3
131,233,7
131,8417,1
131,8451,2
131,11359,7
131,5195,4
131,641,2
131,8395,7
131,10077,3
131,14653,2
131,1401,17
131,227,1
131,14077,8
131,16395,1
131,1654,7
131,15325,4
131,15784,5
131,15505,1
131,14871,3
131,564,5
131,6285,2
131,8892,2
131,4789,5
131,7915,10
131,15801,16
131,2017,1
131,16641,12
131,8585,1
131,6533,2
131,10351,1
131,4003,2
131,1098,2
131,16441,1
131,16950,1
131,15087,1
131,16961,5
131,5257,4
131,3652,62
131,13989,3
131,11593,5
131,3242,6
131,16939,3
131,17007,4
131,5643,2
131,16412,2
131,15296,4
131,11575,1
131,14235,1
131,17198,7
131,4251,1
131,16066,2
131,17412,1
131,2797,8
131,7675,1
131,16165,2
131,16770,2
131,15129,10
131,11159,1
131,16081,1
131,16618,1
131,15370,6
131,13667,2
131,17546,1
131,17146,1
131,11992,2
131,15918,1
131,17348,7
131,16503,1
131,17845,1
131,6029,1
131,4120,19
131,15502,3
131,17871,5
131,15689,1
131,17345,1
131,17258,15
131,9377,2
131,17573,1
131,1800,5
131,17979,3
131,16079,2
131,12159,3
131,18567,3
131,17499,2
131,18617,2
131,18564,2
131,10571,3
131,17633,1
131,5837,6
131,8905,1
131,250,2
131,7873,13
131,18344,2
131,18217,38
131,18585,1
131,4803,1
131,18812,2
131,17495,36
131,16669,1
131,18226,1
131,1526,3
131,12510,1
131,17693,12
131,19276,2
131,17956,2
131,15911,2
131,176,2
131,18059,3
131,5665,1
131,18024,1
131,8063,8
131,4845,3
131,265,8
131,16155,41
131,16605,1
131,17666,12
131,18902,1
131,18810,2
131,16794,6
131,17552,3
131,1940,2
131,2766,5
131,8845,1
131,6295,9
131,4867,1
131,15961,5
131,20739,1
131,3373,2
131,3712,1
131,15540,4
131,3959,1
131,18879,6
131,13641,1
131,18505,1
131,20641,1
131,1530,5
131,2921,1
131,8803,3
131,318,3
131,19983,1
131,20870,5
131,4541,4
131,21138,8
131,5417,6
