USER_ID,TERRITORY_ID,TYPE_IN_HOUSE,TYPE_FREELANCE,TOTAL_DOWNLOADS,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,USES_AFFILIATES
35,1,0,1,1,0,0,0,0,0,0
45,1,0,1,267,0,0,0,0,0,0
46,1,0,1,2720,0,0,1,0,1,0
47,1,0,1,991,0,0,0,0,0,0
49,1,1,0,819,0,0,0,0,0,0
51,1,0,1,4,0,0,0,0,0,0
52,1,0,1,2564,0,0,0,0,0,0
58,1,0,1,613,0,0,0,0,0,0
65,1,0,1,676,0,0,0,0,0,0
80,1,0,1,3786,0,0,0,0,1,0
83,1,0,1,157,0,0,0,0,0,0
88,1,0,1,97,0,0,0,0,0,0
94,1,1,0,5909,0,0,0,0,0,0
96,1,1,0,1305,0,0,0,0,0,0
97,1,0,1,136,0,0,0,0,0,0
99,1,0,1,2,0,0,0,0,0,0
101,1,0,1,313,0,0,0,0,0,0
106,1,0,1,11,0,0,0,0,0,0
107,1,1,0,569,0,0,0,0,0,0
108,1,0,1,1954,0,0,0,0,0,0
112,1,1,0,2518,0,0,0,0,0,0
114,1,0,1,4402,0,1,1,1,1,0
116,1,0,1,61,0,0,0,0,0,0
119,1,1,0,974,0,0,1,0,0,0
120,1,0,1,431,0,0,0,0,0,0
121,1,0,1,579,0,0,0,0,0,0
124,1,0,1,207,0,0,0,0,0,0
125,1,0,1,14,0,0,0,0,0,0
131,1,0,1,50,0,0,0,0,0,0
135,1,0,1,254,0,0,0,0,0,0
137,1,0,1,877,0,0,0,0,0,0
140,1,0,1,4747,0,0,0,0,0,0
143,1,1,0,143,0,0,0,0,0,0
144,1,0,1,127,0,0,0,0,0,0
149,1,0,1,145,0,0,0,0,0,0
152,1,1,0,312,0,0,0,0,0,0
153,1,0,1,433,0,0,0,0,0,0
154,1,0,1,330,0,0,0,0,0,0
161,1,0,1,48,0,0,0,0,0,0
162,1,0,1,53,0,0,0,0,0,0
163,1,1,0,830,0,0,0,0,0,0
166,1,0,1,8,0,0,0,0,0,0
172,1,0,1,211,0,0,0,0,0,0
175,1,0,1,29,0,0,0,0,0,0
176,1,0,1,500,0,0,0,0,0,0
183,1,0,1,18,0,0,0,0,0,0
184,1,0,1,3053,0,0,0,0,0,0
185,1,0,1,5,0,0,0,0,0,0
186,1,0,1,1,0,0,0,0,0,0
189,1,1,0,160,0,0,0,0,0,0
191,1,0,1,25,0,0,0,0,0,0
196,1,0,1,136,0,0,0,0,0,0
198,1,0,1,23,0,0,0,0,0,0
200,1,0,1,2,0,0,0,0,0,0
203,1,1,0,162,0,0,0,0,0,0
205,1,0,1,168,0,0,0,0,0,0
208,1,0,1,690,0,0,0,0,0,0
214,1,0,1,16,0,0,0,0,0,0
223,1,0,1,59,0,0,0,0,0,0
227,1,0,1,2094,0,0,0,0,0,0
229,1,0,1,19,0,0,0,0,0,0
233,1,0,1,520,0,0,0,0,0,0
240,1,0,1,19,0,0,0,0,0,0
250,1,1,0,1683,0,0,0,0,0,0
251,1,0,1,16,0,0,0,0,0,0
253,1,0,1,3357,0,0,0,0,1,0
255,1,0,1,94,0,0,0,0,0,0
258,1,0,1,630,0,0,0,0,0,0
261,1,1,0,1531,0,0,0,0,0,0
262,1,0,1,66,0,0,0,0,0,0
265,1,0,1,6943,0,0,0,0,0,0
266,1,0,1,251,0,0,0,0,0,0
268,1,0,1,868,0,0,0,0,0,0
269,1,0,1,212,0,0,0,0,0,0
271,1,0,1,199,0,0,0,0,0,0
273,1,0,1,1,0,0,0,0,0,0
294,1,0,1,1680,0,0,0,0,0,0
304,1,0,1,95,0,0,0,0,0,0
308,1,0,1,166,0,0,0,0,0,0
310,1,0,1,1337,0,0,0,0,0,0
316,1,0,1,36,0,0,0,0,0,0
317,1,0,1,600,0,0,0,0,0,0
318,1,0,1,689,0,0,0,0,0,0
325,1,0,1,383,0,0,0,0,0,0
327,1,0,1,21,0,0,0,0,0,0
330,1,0,1,62,0,0,0,0,0,0
333,1,0,1,1,0,0,0,0,0,0
334,1,0,1,33,0,0,0,0,0,0
336,1,0,1,3,0,0,0,0,0,0
338,1,0,1,120,0,0,0,0,0,0
342,1,0,1,3,0,0,0,0,0,0
353,1,0,1,38,0,0,0,0,0,0
356,1,1,0,22,0,0,0,0,0,0
360,1,1,0,441,0,0,0,0,0,0
365,1,0,1,314,0,0,0,0,0,0
375,1,0,1,12,0,0,0,0,0,0
383,1,1,0,163,0,0,0,0,0,0
414,1,0,1,704,0,0,0,0,0,0
415,1,0,1,1036,0,0,0,0,0,0
417,1,0,1,16,0,0,0,0,0,0
432,1,1,0,264,0,0,0,0,0,0
433,1,0,1,4,0,0,0,0,0,0
434,1,0,1,24,0,0,0,0,0,0
436,1,0,1,791,0,0,0,0,0,0
441,1,0,1,1,0,0,0,0,0,0
